#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
02968811   2455306.9864         12.591  0.007   I  TNG
02968811   2455318.9768         12.552  0.005   I  TNG
02968811   2455319.9762         12.569  0.005   I  TNG
02968811   2455320.9754         12.609  0.005   I  TNG
02968811   2455321.9753         12.578  0.004   I  TNG
02968811   2455322.9750         12.574  0.004   I  TNG
02968811   2455323.9738         12.526  0.004   I  TNG
02968811   2455324.9748         12.498  0.008   I  TNG
02968811   2455325.9727         12.446  0.004   I  TNG
02968811   2455326.9696         12.432  0.004   I  TNG
02968811   2455327.9670         12.453  0.004   I  TNG
02968811   2455329.9622         12.498  0.003   I  TNG
02968811   2455330.9603         12.515  0.003   I  TNG
02968811   2455332.9536         12.546  0.003   I  TNG
02968811   2455333.9512         12.567  0.003   I  TNG
02968811   2455334.9437         12.574  0.003   I  TNG
02968811   2455335.9419         12.595  0.003   I  TNG
02968811   2455336.9434         12.610  0.004   I  TNG
02968811   2455338.9329         12.534  0.003   I  TNG
02968811   2455339.9304         12.472  0.003   I  TNG
02968811   2455342.9221         12.451  0.003   I  TNG
02968811   2455343.9246         12.484  0.003   I  TNG
02968811   2455346.9155         12.529  0.003   I  TNG
02968811   2455347.9131         12.542  0.003   I  TNG
02968811   2455348.9291         12.580  0.004   I  TNG
02968811   2455349.9039         12.598  0.004   I  TNG
02968811   2455350.9017         12.624  0.004   I  TNG
02968811   2455351.8988         12.624  0.003   I  TNG
02968811   2455352.8958         12.589  0.004   I  TNG
02968811   2455355.8874         12.448  0.003   I  TNG
02968811   2455356.8845         12.450  0.004   I  TNG
02968811   2455357.8821         12.474  0.003   I  TNG
02968811   2455328.9640         12.477  0.004   I  TNG
06437385   2455278.3749         12.314  0.003   B  LOT
06437385   2455278.3390         12.315  0.003   B  LOT
06437385   2455279.3430         12.323  0.003   B  LOT
06437385   2455385.2891         12.318  0.004   B  LOT
06437385   2455408.2473         12.359  0.004   B  LOT
06437385   2455271.3419         12.348  0.008   B  SLT
06437385   2455272.3481         12.349  0.005   B  SLT
06437385   2455273.3441         12.359  0.005   B  SLT
06437385   2455298.3166         12.342  0.004   B  SLT
06437385   2455298.3614         12.341  0.004   B  SLT
06437385   2455298.2721         12.348  0.006   B  SLT
