#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
    16560796 28.708980  0.250400  50760.1291165 14.332  0.032  A 14.071  0.041  A 14.031  0.067  A
    16563944 28.708978  0.250384  50760.1308165 14.287  0.032  A 13.963  0.041  A 13.960  0.063  A
    16564052 28.708998  0.250391  50760.1312165 14.270  0.030  A 14.019  0.039  A 13.969  0.064  A
    16579575 28.709003  0.250358  50760.2135138 14.372  0.032  A 14.113  0.042  A 13.984  0.055  A
    16579661 28.709013  0.250384  50760.2138138 14.319  0.029  A 14.067  0.034  A 13.963  0.052  A
    16582672 28.709022  0.250366  50760.2156137 14.364  0.034  A 14.174  0.041  A 14.027  0.059  A
    16582765 28.709005  0.250416  50760.2159137 14.285  0.029  A 14.035  0.037  A 14.038  0.056  A
    16585731 28.709004  0.250389  50760.2176136 14.373  0.030  A 14.003  0.035  A 14.112  0.060  A
    16585809 28.709022  0.250382  50760.2180136 14.404  0.030  A 14.107  0.038  A 13.982  0.052  A
    16599123 28.708994  0.250385  50760.3051107 14.502  0.030  A 14.165  0.041  A 14.151  0.060  A
    16599219 28.708997  0.250384  50760.3054107 14.508  0.030  A 14.184  0.034  A 14.106  0.052  A
    16602468 28.708994  0.250411  50760.3071106 14.470  0.031  A 14.165  0.046  A 14.075  0.055  A
    16602580 28.709005  0.250365  50760.3075106 14.480  0.034  A 14.197  0.039  A 14.164  0.062  A
    16605881 28.708991  0.250390  50760.3092105 14.479  0.034  A 14.145  0.039  A 14.159  0.057  A
    16605987 28.708994  0.250397  50760.3096105 14.480  0.033  A 14.147  0.038  A 14.083  0.057  A
    16654215 28.708993  0.250384  50762.1080472 14.285  0.032  A 13.938  0.055  A 13.899  0.067  A
    16654317 28.708996  0.250419  50762.1084472 14.378  0.035  A 14.049  0.051  A 13.982  0.072  A
    16657245 28.709006  0.250388  50762.1101471 14.371  0.032  A 13.952  0.048  A 13.979  0.067  A
    16657354 28.708976  0.250387  50762.1105471 14.411  0.034  A 14.126  0.056  A 13.880  0.069  A
    16660338 28.709018  0.250406  50762.1122470 14.408  0.036  A 14.115  0.058  A 13.892  0.063  A
    16660437 28.708988  0.250391  50762.1126470 14.433  0.036  A 14.040  0.053  A 13.988  0.071  A
    16676188 28.708991  0.250389  50762.1993439 14.392  0.030  A 14.102  0.031  A 14.030  0.057  A
    16676275 28.709013  0.250383  50762.1997439 14.438  0.030  A 14.114  0.046  A 14.027  0.047  A
    16679387 28.708991  0.250395  50762.2014438 14.445  0.030  A 14.159  0.034  A 14.145  0.051  A
    16679486 28.708971  0.250397  50762.2018438 14.383  0.029  A 14.113  0.038  A 14.042  0.048  A
    16682533 28.708992  0.250382  50762.2035437 14.435  0.031  A 14.062  0.044  A 14.098  0.058  A
    16682622 28.708990  0.250404  50762.2039437 14.393  0.032  A 14.168  0.039  A 14.005  0.049  A
    16698526 28.709025  0.250388  50762.2912405 14.527  0.032  A 14.139  0.039  A 14.159  0.054  A
    16698617 28.709004  0.250374  50762.2916405 14.539  0.032  A 14.269  0.046  A 14.214  0.058  A
    16701704 28.709024  0.250391  50762.2933404 14.470  0.030  A 14.227  0.046  A 14.167  0.061  A
